FECHA,HORA,VAL,SUR,TAC,EAC,LLA,LPR,LVI,SAG,AZC,TLA,XAL,MER,PED,CES,HAN,ARA,NET,TLI,ATI,VIF,TAH,LAG,PLA,UIZ,BJU,TAX,ACO,IZT,CHO
12/07/08,23,0.000,0.002,0.000,0.002,0.004,0.000,0.000,0.001,0.002,0.006,0.005,0.003,0.003,0.003,-9.999,0.000,-9.999,0.000,0.002,0.002,0.002,0.000,0.002,0.004,-9.999,0.003,0.001,0.002,0.000
12/07/08,24,0.001,0.002,0.000,0.002,0.004,0.000,0.000,0.001,0.001,0.003,0.005,0.003,0.003,0.003,-9.999,0.000,-9.999,0.000,0.002,0.002,0.002,0.000,0.002,0.004,-9.999,0.003,0.001,0.002,0.000
13/07/08,1,0.001,0.001,0.000,0.002,0.004,0.000,0.000,0.001,0.001,0.003,0.005,0.003,0.003,0.003,-9.999,0.000,-9.999,0.000,0.002,0.002,0.002,0.000,0.002,0.005,-9.999,-9.999,0.001,0.002,0.000
13/07/08,2,0.000,0.001,0.000,0.002,0.004,0.000,0.000,0.001,0.001,0.003,0.005,0.003,0.003,0.002,-9.999,0.000,-9.999,0.000,0.002,0.002,0.002,0.000,0.002,0.005,-9.999,-9.999,0.001,0.002,0.000
13/07/08,3,0.000,0.001,0.000,0.001,0.004,0.000,0.000,0.001,0.001,0.003,0.005,0.003,0.003,0.003,-9.999,0.000,-9.999,0.000,0.002,0.003,0.002,0.000,0.002,0.005,-9.999,0.001,0.001,0.002,0.000
13/07/08,4,0.000,0.001,0.000,0.002,0.004,0.000,0.000,0.001,0.001,0.003,0.005,0.004,0.003,0.003,-9.999,0.000,-9.999,0.000,0.002,0.002,0.002,0.000,0.002,0.004,-9.999,0.001,0.001,0.002,0.000
13/07/08,5,0.000,0.001,0.000,0.002,0.005,0.000,0.000,0.001,0.000,0.004,0.005,0.004,0.003,0.003,-9.999,0.000,-9.999,0.000,0.002,0.002,0.002,0.000,0.002,0.005,-9.999,0.001,0.001,0.003,0.000
13/07/08,6,0.001,0.002,0.000,0.002,0.005,0.000,0.000,0.002,0.001,0.005,0.005,0.004,0.003,0.003,-9.999,0.000,-9.999,0.000,0.002,0.002,0.002,0.000,0.002,0.005,-9.999,0.002,0.001,0.002,0.001
13/07/08,7,0.000,0.002,0.000,0.003,0.005,0.000,0.000,0.001,0.001,0.004,0.006,0.006,0.004,0.004,-9.999,0.000,-9.999,0.000,0.002,0.003,0.002,0.000,0.002,0.006,-9.999,0.002,0.001,0.004,0.001
13/07/08,8,0.002,0.002,0.000,0.003,0.006,0.000,0.000,0.002,0.002,0.006,0.005,0.006,0.004,0.003,-9.999,0.000,-9.999,0.000,0.002,0.004,0.002,0.000,0.002,0.006,-9.999,0.002,0.002,0.004,0.001
13/07/08,9,0.001,0.002,0.001,0.003,0.006,0.000,0.000,0.003,0.004,0.008,0.005,0.005,0.004,0.004,-9.999,0.000,-9.999,0.000,0.002,0.008,0.002,0.000,0.002,0.006,-9.999,0.003,0.002,0.005,0.004
13/07/08,10,0.001,0.002,0.001,0.004,0.006,0.000,0.000,0.004,0.002,0.010,0.006,0.004,0.004,0.003,-9.999,0.000,-9.999,0.002,0.002,0.005,0.002,0.000,0.002,0.005,-9.999,0.002,0.002,0.003,0.001
13/07/08,11,0.001,0.002,0.000,0.004,0.006,0.000,0.000,0.003,0.002,0.006,0.006,0.004,0.004,0.004,-9.999,0.000,-9.999,0.008,0.003,0.003,0.002,0.000,0.002,0.005,-9.999,0.002,0.002,0.003,0.000
13/07/08,12,-9.999,0.002,0.000,0.004,0.005,0.000,0.000,0.003,0.003,0.005,0.006,0.004,0.004,0.004,-9.999,0.000,-9.999,0.005,0.006,0.003,0.002,0.000,0.002,0.005,-9.999,0.001,0.002,0.003,0.000
13/07/08,13,0.002,0.001,0.000,0.003,0.005,0.000,0.000,0.002,0.003,0.007,0.007,0.004,0.004,0.003,-9.999,0.000,-9.999,0.002,0.007,0.003,0.002,0.000,0.002,0.005,-9.999,0.001,0.002,0.002,0.001
13/07/08,14,0.001,0.001,0.000,0.004,0.005,0.000,0.000,0.002,0.004,0.005,0.006,0.004,0.004,0.003,-9.999,0.000,-9.999,0.000,0.006,0.003,0.002,0.000,0.003,0.005,-9.999,0.001,0.002,0.002,0.000
13/07/08,15,0.000,0.001,0.000,0.004,0.005,0.000,0.000,0.002,0.003,0.003,0.005,0.004,0.004,0.003,-9.999,0.000,-9.999,0.000,0.004,0.003,0.002,0.000,0.002,0.005,-9.999,0.001,0.001,0.002,0.000
13/07/08,16,0.000,0.001,0.000,0.004,0.005,0.000,0.000,0.002,0.002,0.003,0.005,0.004,0.004,0.004,-9.999,0.000,-9.999,0.000,0.003,0.003,0.002,0.000,0.002,0.004,-9.999,0.002,0.001,0.002,0.000
13/07/08,17,0.000,0.001,0.000,0.003,0.005,0.000,0.000,0.004,0.002,0.003,0.005,0.004,0.004,0.004,-9.999,0.000,-9.999,0.000,0.003,0.002,0.003,0.000,0.002,0.005,-9.999,0.002,0.001,0.002,0.000
13/07/08,18,0.001,0.001,0.000,0.003,0.004,0.000,0.000,0.003,0.001,0.003,0.005,0.003,-9.999,0.003,-9.999,0.000,-9.999,0.000,0.003,0.002,0.002,0.000,0.002,0.004,-9.999,0.002,0.001,0.002,0.000
13/07/08,19,0.000,0.001,0.000,0.002,0.004,0.000,0.000,0.003,0.001,0.005,0.005,0.003,0.004,0.003,-9.999,0.000,-9.999,0.000,0.003,0.002,0.002,0.000,0.002,0.004,-9.999,0.002,0.001,0.002,0.001
13/07/08,20,0.000,0.001,0.000,0.002,0.004,0.000,0.000,0.002,0.002,0.007,0.005,0.003,0.004,0.003,-9.999,0.000,-9.999,0.000,0.003,0.002,0.002,0.000,0.002,0.004,-9.999,0.002,0.002,0.002,0.000
13/07/08,21,0.001,0.001,0.000,0.002,0.005,0.000,0.000,0.002,0.002,0.004,0.005,0.003,0.004,0.003,-9.999,0.000,-9.999,0.000,0.002,0.002,0.002,0.000,0.002,0.004,-9.999,0.002,0.002,0.002,0.000
13/07/08,22,0.001,0.002,0.000,0.002,0.005,0.000,0.000,0.002,0.002,0.003,0.005,0.003,0.003,0.003,-9.999,0.000,-9.999,0.000,0.002,0.002,0.002,0.000,0.002,0.004,-9.999,0.001,0.001,0.002,0.000
13/07/08,23,0.000,0.001,0.000,0.002,0.004,0.000,0.000,0.001,0.001,0.004,0.005,0.003,0.003,0.002,-9.999,0.000,-9.999,0.000,0.002,0.002,0.002,0.000,0.002,0.004,-9.999,0.000,0.001,0.001,0.000
13/07/08,24,0.000,0.001,0.000,0.002,0.004,0.000,0.000,0.001,0.002,0.004,0.004,0.003,0.003,0.003,-9.999,0.000,-9.999,0.000,0.002,0.002,0.002,0.000,0.002,0.004,-9.999,0.000,0.001,0.001,0.000
14/07/08,1,0.000,0.001,0.000,0.002,0.004,0.000,0.000,0.001,0.001,-9.999,0.004,0.003,0.003,0.003,-9.999,0.000,-9.999,0.000,0.002,0.002,0.003,0.000,0.002,0.004,-9.999,0.000,0.001,0.002,0.001
14/07/08,2,0.000,0.001,0.000,0.001,0.004,0.000,0.000,0.001,0.001,-9.999,0.004,0.003,0.003,0.002,-9.999,0.000,-9.999,0.000,0.002,0.002,0.003,0.000,0.002,0.004,-9.999,0.000,0.001,0.002,0.003
14/07/08,3,0.001,0.003,0.000,0.001,0.004,0.000,0.000,0.001,0.001,-9.999,0.004,0.003,0.003,0.003,-9.999,0.000,-9.999,0.000,0.002,0.002,0.002,0.000,0.002,0.005,-9.999,0.001,0.001,0.002,0.004
14/07/08,4,0.002,0.002,0.000,0.001,0.004,0.000,0.000,0.001,0.001,-9.999,0.005,0.004,0.003,0.003,-9.999,0.000,-9.999,0.000,0.002,0.003,0.003,0.000,0.002,0.005,-9.999,0.001,0.001,0.002,0.004
14/07/08,5,0.001,0.003,0.000,0.001,0.005,0.000,0.000,0.001,0.002,-9.999,0.006,0.006,0.003,0.003,-9.999,0.000,-9.999,0.000,0.002,0.003,0.002,0.000,0.002,0.005,-9.999,0.001,0.001,0.007,0.005
14/07/08,6,0.001,0.002,0.001,0.003,0.006,0.000,0.000,0.001,0.003,-9.999,0.005,0.007,0.003,0.004,-9.999,0.000,-9.999,0.000,0.002,0.004,0.003,0.000,0.002,0.007,-9.999,0.002,0.002,0.005,0.002
14/07/08,7,0.002,0.003,0.001,0.004,0.007,0.000,0.000,0.003,0.002,0.005,0.007,0.008,0.004,0.005,-9.999,0.000,-9.999,0.000,0.002,0.003,0.003,0.000,0.002,0.009,-9.999,-9.999,0.002,0.005,0.004
14/07/08,8,0.002,0.006,0.001,0.004,0.008,0.000,0.001,0.003,0.003,0.009,0.007,0.007,0.005,0.008,-9.999,0.000,-9.999,0.000,0.002,0.004,-9.999,0.000,0.003,0.010,-9.999,0.003,0.002,0.005,0.004
14/07/08,9,0.001,0.004,0.001,0.003,0.007,0.000,0.001,0.004,0.003,0.006,0.007,0.005,0.005,0.008,-9.999,0.000,-9.999,0.002,0.002,0.005,0.003,0.000,0.003,0.007,-9.999,0.003,0.002,0.004,0.004
14/07/08,10,0.000,0.002,0.000,0.003,0.006,0.000,0.001,0.004,0.003,0.006,0.008,0.005,0.004,0.005,-9.999,0.000,-9.999,0.000,0.002,0.004,0.002,0.000,0.003,0.006,-9.999,0.002,0.002,0.003,0.003
14/07/08,11,0.000,0.002,0.000,0.003,0.006,0.000,0.000,0.003,0.002,0.006,0.008,0.005,0.004,0.004,-9.999,0.000,-9.999,0.000,0.002,0.003,0.002,-9.999,0.003,0.005,-9.999,0.001,0.002,0.002,0.000
14/07/08,12,0.000,0.001,0.000,0.003,0.005,0.000,0.000,0.002,0.002,0.005,-9.999,0.004,0.004,0.004,-9.999,0.000,-9.999,0.000,0.002,0.003,0.002,-9.999,0.002,0.005,-9.999,0.001,0.002,0.003,0.000
14/07/08,13,0.000,0.003,0.000,0.004,0.004,0.000,0.000,0.002,0.002,0.004,0.007,0.004,0.004,0.003,-9.999,0.000,-9.999,0.000,0.002,0.002,0.002,-9.999,0.003,0.005,-9.999,0.002,0.002,0.003,0.000
14/07/08,14,0.000,0.004,0.000,0.004,0.005,0.000,0.000,0.001,0.002,0.004,0.006,0.004,0.008,0.004,-9.999,0.000,-9.999,0.000,0.002,0.002,0.003,0.002,0.006,0.005,-9.999,0.002,0.002,0.002,0.000
